level,group,num_examples,num_correct,accuracy,num_parse_failures,parse_failure_rate,top_error_code,top_error_count
overall,all,4000,0,0.000000,3998,0.999500,invalid_json,3886
task,extractive_qa,800,0,0.000000,800,1.000000,invalid_json,784
task,information_extraction,800,0,0.000000,800,1.000000,invalid_json,758
task,multi_label_classification,800,0,0.000000,800,1.000000,invalid_json,788
task,rule_based_transformation,800,0,0.000000,798,0.997500,invalid_json,786
task,single_label_classification,800,0,0.000000,800,1.000000,invalid_json,770
regime,bounded,2000,0,0.000000,2000,1.000000,invalid_json,1972
regime,unbounded,2000,0,0.000000,1998,0.999000,invalid_json,1914
distraction_type,clean,500,0,0.000000,499,0.998000,invalid_json,459
distraction_type,conflicting_instruction,500,0,0.000000,500,1.000000,invalid_json,481
distraction_type,instruction_in_the_middle,500,0,0.000000,500,1.000000,invalid_json,493
distraction_type,irrelevant_prefix,500,0,0.000000,500,1.000000,invalid_json,485
distraction_type,irrelevant_suffix,500,0,0.000000,500,1.000000,invalid_json,485
distraction_type,length_stress,500,0,0.000000,499,0.998000,invalid_json,488
distraction_type,negation_distraction,500,0,0.000000,500,1.000000,invalid_json,495
distraction_type,style_distraction,500,0,0.000000,500,1.000000,invalid_json,500
task__regime,extractive_qa__bounded,400,0,0.000000,400,1.000000,invalid_json,395
task__regime,extractive_qa__unbounded,400,0,0.000000,400,1.000000,invalid_json,389
task__regime,information_extraction__bounded,400,0,0.000000,400,1.000000,invalid_json,393
task__regime,information_extraction__unbounded,400,0,0.000000,400,1.000000,invalid_json,365
task__regime,multi_label_classification__bounded,400,0,0.000000,400,1.000000,invalid_json,395
task__regime,multi_label_classification__unbounded,400,0,0.000000,400,1.000000,invalid_json,393
task__regime,rule_based_transformation__bounded,400,0,0.000000,400,1.000000,invalid_json,396
task__regime,rule_based_transformation__unbounded,400,0,0.000000,398,0.995000,invalid_json,390
task__regime,single_label_classification__bounded,400,0,0.000000,400,1.000000,invalid_json,393
task__regime,single_label_classification__unbounded,400,0,0.000000,400,1.000000,invalid_json,377
task__distraction_type,extractive_qa__clean,100,0,0.000000,100,1.000000,invalid_json,97
task__distraction_type,extractive_qa__conflicting_instruction,100,0,0.000000,100,1.000000,invalid_json,96
task__distraction_type,extractive_qa__instruction_in_the_middle,100,0,0.000000,100,1.000000,invalid_json,100
task__distraction_type,extractive_qa__irrelevant_prefix,100,0,0.000000,100,1.000000,invalid_json,97
