level,group,num_examples,num_correct,accuracy,num_parse_failures,parse_failure_rate,top_error_code,top_error_count
overall,all,4000,2603,0.650750,648,0.162000,none,2603
task,extractive_qa,800,556,0.695000,12,0.015000,none,556
task,information_extraction,800,719,0.898750,37,0.046250,none,719
task,multi_label_classification,800,312,0.390000,465,0.581250,invalid_label,452
task,rule_based_transformation,800,288,0.360000,62,0.077500,wrong_answer,450
task,single_label_classification,800,728,0.910000,72,0.090000,none,728
regime,bounded,2000,1352,0.676000,299,0.149500,none,1352
regime,unbounded,2000,1251,0.625500,349,0.174500,none,1251
distraction_type,clean,500,370,0.740000,62,0.124000,none,370
distraction_type,conflicting_instruction,500,272,0.544000,146,0.292000,none,272
distraction_type,instruction_in_the_middle,500,303,0.606000,88,0.176000,none,303
distraction_type,irrelevant_prefix,500,348,0.696000,67,0.134000,none,348
distraction_type,irrelevant_suffix,500,345,0.690000,72,0.144000,none,345
distraction_type,length_stress,500,350,0.700000,68,0.136000,none,350
distraction_type,negation_distraction,500,346,0.692000,68,0.136000,none,346
distraction_type,style_distraction,500,269,0.538000,77,0.154000,none,269
task__regime,extractive_qa__bounded,400,282,0.705000,4,0.010000,none,282
task__regime,extractive_qa__unbounded,400,274,0.685000,8,0.020000,none,274
task__regime,information_extraction__bounded,400,360,0.900000,23,0.057500,none,360
task__regime,information_extraction__unbounded,400,359,0.897500,14,0.035000,none,359
task__regime,multi_label_classification__bounded,400,175,0.437500,204,0.510000,invalid_label,197
task__regime,multi_label_classification__unbounded,400,137,0.342500,261,0.652500,invalid_label,255
task__regime,rule_based_transformation__bounded,400,164,0.410000,39,0.097500,wrong_answer,197
task__regime,rule_based_transformation__unbounded,400,124,0.310000,23,0.057500,wrong_answer,253
task__regime,single_label_classification__bounded,400,371,0.927500,29,0.072500,none,371
task__regime,single_label_classification__unbounded,400,357,0.892500,43,0.107500,none,357
task__distraction_type,extractive_qa__clean,100,82,0.820000,0,0.000000,none,82
task__distraction_type,extractive_qa__conflicting_instruction,100,62,0.620000,11,0.110000,none,62
task__distraction_type,extractive_qa__instruction_in_the_middle,100,68,0.680000,0,0.000000,none,68
task__distraction_type,extractive_qa__irrelevant_prefix,100,77,0.770000,0,0.000000,none,77
task__distraction_type,extractive_qa__irrelevant_suffix,100,85,0.850000,0,0.000000,none,85
task__distraction_type,extractive_qa__length_stress,100,79,0.790000,0,0.000000,none,79
task__distraction_type,extractive_qa__negation_distraction,100,87,0.870000,0,0.000000,none,87
task__distraction_type,extractive_qa__style_distraction,100,16,0.160000,1,0.010000,wrong_answer,83
task__distraction_type,information_extraction__clean,100,99,0.990000,0,0.000000,none,99
task__distraction_type,information_extraction__conflicting_instruction,100,62,0.620000,37,0.370000,none,62
task__distraction_type,information_extraction__instruction_in_the_middle,100,93,0.930000,0,0.000000,none,93
task__distraction_type,information_extraction__irrelevant_prefix,100,93,0.930000,0,0.000000,none,93
task__distraction_type,information_extraction__irrelevant_suffix,100,97,0.970000,0,0.000000,none,97
task__distraction_type,information_extraction__length_stress,100,100,1.000000,0,0.000000,none,100
task__distraction_type,information_extraction__negation_distraction,100,87,0.870000,0,0.000000,none,87
task__distraction_type,information_extraction__style_distraction,100,88,0.880000,0,0.000000,none,88
task__distraction_type,multi_label_classification__clean,100,45,0.450000,54,0.540000,invalid_label,54
task__distraction_type,multi_label_classification__conflicting_instruction,100,35,0.350000,62,0.620000,invalid_label,49
task__distraction_type,multi_label_classification__instruction_in_the_middle,100,26,0.260000,65,0.650000,invalid_label,65
task__distraction_type,multi_label_classification__irrelevant_prefix,100,48,0.480000,51,0.510000,invalid_label,51
task__distraction_type,multi_label_classification__irrelevant_suffix,100,37,0.370000,58,0.580000,invalid_label,58
task__distraction_type,multi_label_classification__length_stress,100,39,0.390000,58,0.580000,invalid_label,58
task__distraction_type,multi_label_classification__negation_distraction,100,40,0.400000,59,0.590000,invalid_label,59
task__distraction_type,multi_label_classification__style_distraction,100,42,0.420000,58,0.580000,invalid_label,58
task__distraction_type,rule_based_transformation__clean,100,46,0.460000,6,0.060000,wrong_answer,48
task__distraction_type,rule_based_transformation__conflicting_instruction,100,33,0.330000,16,0.160000,wrong_answer,51
task__distraction_type,rule_based_transformation__instruction_in_the_middle,100,32,0.320000,7,0.070000,wrong_answer,61
task__distraction_type,rule_based_transformation__irrelevant_prefix,100,37,0.370000,9,0.090000,wrong_answer,54
task__distraction_type,rule_based_transformation__irrelevant_suffix,100,35,0.350000,5,0.050000,wrong_answer,60
task__distraction_type,rule_based_transformation__length_stress,100,36,0.360000,6,0.060000,wrong_answer,58
task__distraction_type,rule_based_transformation__negation_distraction,100,37,0.370000,4,0.040000,wrong_answer,59
task__distraction_type,rule_based_transformation__style_distraction,100,32,0.320000,9,0.090000,wrong_answer,59
task__distraction_type,single_label_classification__clean,100,98,0.980000,2,0.020000,none,98
task__distraction_type,single_label_classification__conflicting_instruction,100,80,0.800000,20,0.200000,none,80
task__distraction_type,single_label_classification__instruction_in_the_middle,100,84,0.840000,16,0.160000,none,84
task__distraction_type,single_label_classification__irrelevant_prefix,100,93,0.930000,7,0.070000,none,93
task__distraction_type,single_label_classification__irrelevant_suffix,100,91,0.910000,9,0.090000,none,91
task__distraction_type,single_label_classification__length_stress,100,96,0.960000,4,0.040000,none,96
task__distraction_type,single_label_classification__negation_distraction,100,95,0.950000,5,0.050000,none,95
task__distraction_type,single_label_classification__style_distraction,100,91,0.910000,9,0.090000,none,91
